date,open,high,low,close,pct_change
2011-07-29,18897.3,19176.3,18519.0,18717.6,-0.022931685189148676
2011-08-01,18257.3,18612.4,18061.6,18380.6,-0.018004445014318082
2011-08-02,18081.1,18280.1,17638.5,18070.0,-0.016898251417255095
2011-08-03,17707.9,18165.8,17562.1,17928.6,-0.007825124515772108
2011-08-04,17641.2,17944.9,17468.7,17671.8,-0.014323483149827565
2011-08-05,17126.3,17586.1,16888.0,17303.2,-0.02085809029074559
2011-08-08,17523.7,17805.6,16506.0,16957.5,-0.019978963428729957
2011-08-09,16718.8,17501.8,16311.6,17248.1,0.017136960047176686
2011-08-10,17741.3,18100.4,17475.7,17685.2,0.02534192171891414
2011-08-11,17471.7,18280.3,17330.8,18143.9,0.02593694162350446
2011-08-12,18355.3,18719.3,18146.7,18387.6,0.013431511417060227
2011-08-15,18449.5,18845.5,18255.5,18679.0,0.01584763645065168
2011-08-16,18613.6,18853.8,18284.0,18474.4,-0.010953477166871783
2011-08-17,18104.3,18401.9,17887.2,18092.2,-0.02068808729918159
2011-08-18,17945.7,18156.7,17513.9,17633.4,-0.025358994483810626
2011-08-19,17071.4,17449.4,16866.4,17256.2,-0.021391223473635312
2011-08-22,16925.4,17221.1,16609.1,16785.4,-0.027282947578261663
2011-08-23,16535.7,16868.7,16366.5,16764.3,-0.0012570448127540157
2011-08-24,16682.3,16922.4,16414.0,16554.1,-0.012538549178909952
2011-08-25,16803.7,17276.0,16628.5,17162.7,0.03676430612355874
2011-08-26,17033.6,17332.2,16874.5,17156.7,-0.0003495953433900745
2011-08-29,17007.6,17232.5,16736.8,16932.2,-0.013085266980246812
2011-08-30,16972.6,17209.9,16629.2,16724.1,-0.012290192650689313
2011-08-31,16429.2,16638.3,16124.6,16388.5,-0.020066849636153683
2011-09-01,16050.3,16245.4,15778.3,15924.2,-0.028330841748787194
2011-09-02,15520.1,15678.4,15206.9,15379.4,-0.03421207972771012
2011-09-05,14932.5,15069.2,14580.8,14711.9,-0.04340221335032579
2011-09-06,14245.9,14478.2,14037.9,14246.1,-0.03166144413705907
2011-09-07,14151.7,14507.2,14040.0,14427.8,0.012754367862081395
2011-09-08,14284.9,14441.9,14004.1,14087.6,-0.023579478506771556
2011-09-09,13820.2,14051.5,13596.2,13737.8,-0.024830347255742735
2011-09-13,13258.6,13448.5,13022.1,13254.9,-0.03515118869105682
2011-09-14,13092.9,13282.2,12823.7,13196.4,-0.004413462191340534
2011-09-15,13052.7,13258.6,12928.1,13043.6,-0.011578915461792572
2011-09-16,12883.0,13051.2,12722.7,12831.2,-0.016283848017418445
2011-09-19,12542.4,12642.5,12252.6,12341.5,-0.038164785834528425
2011-09-20,12082.3,12333.0,11951.7,12208.0,-0.010817161609204762
2011-09-21,12545.6,13043.4,12425.9,12938.7,0.059854193971166536
2011-09-22,12955.7,13137.5,12620.5,12686.7,-0.01947645435785661
2011-09-23,12478.2,12784.5,12299.8,12621.1,-0.005170769388414653
2011-09-26,12444.3,12679.6,12201.1,12313.9,-0.024340192217794043
2011-09-27,12313.4,12476.8,12077.6,12273.1,-0.0033133288397664273
2011-09-28,12244.0,12361.7,11862.3,11955.8,-0.025853288900114957
2011-09-29,11832.2,11976.6,11475.4,11594.0,-0.030261463055588078
2011-09-30,11413.3,11559.2,11144.7,11333.6,-0.022459893048128343
2011-10-10,11118.9,11258.5,10897.5,11017.7,-0.027872873579445123
2011-10-11,11386.4,11518.4,10887.3,11067.0,0.004474618114488349
2011-10-12,11341.1,11932.8,11185.5,11860.9,0.07173579109062977
2011-10-13,12187.5,12521.0,12085.9,12368.6,0.042804508932711816
2011-10-14,12261.3,12428.3,12067.1,12264.9,-0.008384134016784506
2011-10-17,12261.8,12479.2,12113.0,12298.9,0.002772138378625222
2011-10-18,12307.9,12453.6,11911.4,11993.9,-0.02479896576116558
2011-10-19,11886.1,12076.9,11653.1,11808.6,-0.015449520172754472
2011-10-20,11733.6,11844.3,11297.4,11486.2,-0.027302135731585464
2011-10-21,11252.8,11398.6,10961.3,11077.7,-0.03556441643015096
2011-10-24,11163.3,11495.0,10885.6,11398.4,0.028950052808796034
2011-10-25,11735.3,12200.4,11599.7,12069.9,0.05891177709152151
2011-10-26,12520.4,12967.3,12431.1,12725.9,0.054350077465430635
2011-10-27,12889.5,13125.5,12722.1,12875.7,0.011771269615508562
2011-10-28,13585.9,13899.0,13426.6,13715.2,0.06520033862236607
2011-10-31,13919.7,14180.5,13725.2,13996.7,0.020524673355109657
2011-11-01,14062.9,14443.9,13933.4,14212.7,0.015432209020697751
2011-11-02,14459.1,15058.1,14286.6,14990.6,0.05473273902917808
2011-11-03,15994.8,16434.0,15794.1,15973.6,0.0655744266406948
2011-11-04,16314.9,16602.1,16078.9,16338.0,0.022812640857414745
2011-11-07,16208.2,16475.0,15995.4,16181.0,-0.009609499326722948
2011-11-08,16079.2,16287.8,15775.7,15910.8,-0.01669859712007915
2011-11-09,15923.6,16228.4,15671.1,16132.5,0.013933931669054989
2011-11-10,16056.8,16340.3,15829.1,15976.6,-0.00966372229970558
2011-11-11,15822.8,16081.2,15597.8,15785.3,-0.011973761626378643
2011-11-14,16033.4,16393.6,15927.6,16276.4,0.031111223733473636
2011-11-15,16343.5,16609.6,16167.8,16435.2,0.009756457201838264
2011-11-16,16608.2,16752.1,16021.4,16168.1,-0.016251703660436156
2011-11-17,15961.6,16231.9,15761.8,15947.5,-0.013644151137115701
2011-11-18,15736.8,15886.7,15272.1,15413.6,-0.03347860166170247
2011-11-21,15031.1,15227.6,14758.8,15053.8,-0.023343021747028625
2011-11-22,14559.4,14819.7,14371.2,14686.8,-0.02437922650759272
2011-11-23,14372.0,14539.1,14121.5,14242.7,-0.030238036876651053
2011-11-24,13825.7,14120.1,13643.2,13956.1,-0.02012258911582776
2011-11-25,13641.9,13840.8,13432.4,13559.3,-0.02843201180845656
2011-11-28,13312.0,13497.4,13103.9,13291.0,-0.019787157154130375
2011-11-29,13306.8,13499.6,13135.6,13403.1,0.008434278835302012
2011-11-30,13523.7,13618.3,12784.7,12982.0,-0.03141810476680773
2011-12-01,13756.6,14013.0,13511.9,13660.3,0.05224926821753195
2011-12-02,13415.9,13560.9,13063.8,13236.7,-0.031009567871862154
2011-12-05,12988.8,13096.1,12518.6,12633.5,-0.04557027053570761
2011-12-06,12282.9,12507.1,12087.4,12351.4,-0.022329520718724072
2011-12-07,11988.6,12184.6,11864.4,12053.5,-0.024118723383584006
2011-12-08,11844.7,12093.3,11605.1,11895.1,-0.013141411208362652
2011-12-09,11494.3,11690.6,11347.0,11486.0,-0.03439231280106936
2011-12-12,11169.0,11297.1,10956.9,11040.6,-0.038777642347205266
2011-12-13,10919.7,11019.1,10520.1,10649.7,-0.035405684473669874
2011-12-14,10382.9,10551.1,10140.9,10248.9,-0.03763486295388607
2011-12-15,10156.4,10305.3,9851.8,9974.7,-0.026754090682902465
2011-12-16,9992.3,10334.8,9854.1,10285.2,0.03112875575205276
2011-12-19,10210.9,10412.9,9958.5,10325.7,0.003937696884844133
2011-12-20,10251.1,10493.6,10123.5,10245.9,-0.007728289607484395
2011-12-21,10274.6,10393.2,9886.5,9942.5,-0.029611844737895132
2011-12-22,9890.5,10102.3,9544.3,9910.4,-0.0032285642444053186
2011-12-23,9804.1,10106.0,9706.7,9936.1,0.0025932353890862903
2011-12-26,9735.6,9925.1,9577.3,9677.0,-0.026076629663550066
2011-12-27,9534.5,9658.5,9241.6,9330.5,-0.03580655161723678
2011-12-28,9228.7,9402.0,8991.9,9288.2,-0.004533519104013672
2011-12-29,9128.8,9338.9,9042.9,9192.9,-0.010260330311578247
2011-12-30,9220.1,9447.2,9162.2,9350.8,0.017176299100392756
2012-01-04,9384.3,9485.9,9036.2,9080.4,-0.028917311887752928
2012-01-05,9078.2,9224.6,8748.5,8857.3,-0.024569402228976744
2012-01-06,8808.9,9015.9,8597.6,8916.5,0.006683752385038488
2012-01-09,9179.7,9616.0,9043.0,9569.9,0.07327987439017547
2012-01-10,10211.8,10718.2,10133.4,10625.8,0.11033553119677308
2012-01-11,10941.2,11186.3,10777.2,10976.2,0.03297634060494281
2012-01-12,11065.8,11360.3,10950.0,11111.5,0.012326670432390108
2012-01-13,11263.0,11395.6,10785.5,10935.6,-0.015830445934392312
2012-01-16,10673.5,10853.8,10375.3,10446.6,-0.04471633929551189
2012-01-17,10747.4,11445.9,10618.8,11375.5,0.08891888269867709
2012-01-18,11752.2,12003.3,11372.0,11480.0,0.009186409388598271
2012-01-19,11515.1,11858.5,11364.3,11695.9,0.0188066202090591
2012-01-20,11768.8,12018.8,11618.2,11880.0,0.01574055865730739
2012-01-30,11811.7,11956.6,11556.9,11675.3,-0.017230639730639763
2012-01-31,11408.7,11582.2,11233.1,11456.4,-0.01874898289551441
2012-02-01,11314.9,11508.0,11110.2,11225.3,-0.02017213086135261
2012-02-02,11232.5,11505.9,11125.3,11457.2,0.020658690636330634
2012-02-03,11627.6,11913.2,11523.3,11807.6,0.030583388611528095
2012-02-06,11981.5,12187.2,11827.3,12028.7,0.018725227819370582
2012-02-07,11946.9,12039.9,11658.7,11814.1,-0.017840664410950557
2012-02-08,12065.5,12550.3,11980.0,12466.8,0.05524754318991709
2012-02-09,12842.7,13150.3,12725.8,12927.1,0.03692206500465245
2012-02-10,13127.0,13434.4,13006.2,13225.8,0.02310649720354907
