order_book_id,etf_name,turnover
588230.XSHG,科创200ETF华泰柏瑞,238644716.0
159142.XSHE,科创创业人工智能ETF景顺,83000514.064
588120.XSHG,科创100ETF国泰,157360173.0
588030.XSHG,科创100ETF博时,434754958.0
588220.XSHG,科创100ETF鹏华,654279113.0
588190.XSHG,科创100ETF银华,196995698.0
515000.XSHG,科技ETF华宝,153329420.0
159695.XSHE,通信ETF嘉实,52623875.6
159140.XSHE,科创创业人工智能ETF易方达,71725975.03
159939.XSHE,信息技术ETF广发,60306924.843
589680.XSHG,科创综指ETF鹏华,140287357.0
515880.XSHG,通信ETF国泰,4369322223.0
159259.XSHE,成长ETF易方达,356394967.284
159994.XSHE,通信ETF银华,325826952.698
159507.XSHE,通信ETF广发,54566223.9
589800.XSHG,科创综指ETF易方达,137046296.0
589000.XSHG,科创综指ETF华夏,163608967.0
159583.XSHE,通信ETF富国,463992478.1
159663.XSHE,机床ETF华夏,99730533.004
515050.XSHG,通信ETF华夏,1329718313.0
588300.XSHG,科创创业50ETF招商,94997907.0
588380.XSHG,科创创业ETF富国,118935357.0
159780.XSHE,科创创业50ETF南方,170511802.049
588330.XSHG,双创50ETF华宝,139606527.0
159967.XSHE,创业板成长ETF华夏,1901309309.305
562950.XSHG,消费电子ETF易方达,266722918.0
159783.XSHE,科创创业50ETF华夏,310378436.433
561100.XSHG,消费电子ETF富国,113350433.0
159667.XSHE,工业母机ETF国泰,351346289.1
515260.XSHG,电子ETF华宝,65223378.0
159997.XSHE,电子ETF天弘,134525189.588
159781.XSHE,科创创业ETF易方达,784683915.496
588090.XSHG,科创50ETF华泰柏瑞,327583324.0
588060.XSHG,科创50ETF广发,504939146.0
588050.XSHG,科创50ETF工银,437140254.0
588000.XSHG,科创50ETF华夏,7517959824.0
159389.XSHE,数字经济ETF嘉实,73002538.3
588020.XSHG,科创成长ETF易方达,251087862.0
589850.XSHG,科创50ETF东财,135010546.0
588940.XSHG,科创50ETF富国,101310907.0
588080.XSHG,科创50ETF易方达,2612493338.0
588150.XSHG,科创50ETF南方,56998154.0
588870.XSHG,科创50ETF汇添富,107621342.0
159327.XSHE,半导体设备ETF万家,189273465.981
588460.XSHG,科创50增强ETF鹏华,88765086.0
159558.XSHE,半导体设备ETF易方达,804903257.069
562820.XSHG,集成电路ETF嘉实,65956847.0
159599.XSHE,芯片ETF东财,238414030.8
159325.XSHE,半导体ETF南方,184714693.048
512480.XSHG,半导体ETF国联安,2347226005.0
562590.XSHG,半导体设备ETF华夏,353142446.0
512760.XSHG,芯片ETF国泰,717407507.0
159995.XSHE,芯片ETF华夏,1531415751.948
159516.XSHE,半导体设备ETF国泰,2971743265.009
560780.XSHG,半导体设备ETF广发,546511623.0
588950.XSHG,科创50ETF景顺,62835021.0
159801.XSHE,芯片ETF广发,356537991.098
